,team1,team1score,team1seed,team2,team2score,team2seed,result,year,round,wteam,lteam,wscore,lscore
0,Siena,81,16,Alcorn St.,77,16,0,2002,0,Siena,Alcorn St.,81,77
1,Mississippi St.,70,3,McNeese St.,58,14,0,2002,1,Mississippi St.,McNeese St.,70,58
2,Xavier,70,7,Hawaii,58,10,0,2002,1,Xavier,Hawaii,70,58
3,UCLA,80,8,Mississippi,58,9,0,2002,1,UCLA,Mississippi,80,58
4,Oregon,81,2,Montana,62,15,0,2002,1,Oregon,Montana,81,62
5,UNC Wilmington,93,13,USC,89,4,0,2002,1,UNC Wilmington,USC,93,89
6,N.C. State,69,7,Michigan St.,58,10,0,2002,1,North Carolina St.,Michigan St.,69,58
7,Wake Forest,83,7,Pepperdine,74,10,0,2002,1,Wake Forest,Pepperdine,83,74
8,Oklahoma,71,2,Illinois Chicago,63,15,0,2002,1,Oklahoma,Illinois-Chicago,71,63
9,Ohio St.,69,4,Davidson,64,13,0,2002,1,Ohio St.,Davidson,69,64
10,California,82,6,Penn,75,11,0,2002,1,California,Penn,82,75
11,Southern Illinois,76,11,Texas Tech,68,6,0,2002,1,Southern Illinois,Texas Tech,76,68
12,Kent St.,69,10,Oklahoma St.,61,7,0,2002,1,Kent St.,Oklahoma St.,69,61
13,Arizona,86,3,UC Santa Barbara,81,14,0,2002,1,Arizona,UC Santa Barbara,86,81
14,Georgia,85,3,Murray St.,68,14,0,2002,1,Georgia,Murray St.,85,68
15,Kentucky,83,4,Valparaiso,68,13,0,2002,1,Kentucky,Valparaiso,83,68
16,Maryland,85,1,Siena,70,16,0,2002,1,Maryland,Siena,85,70
17,Texas,70,6,Boston College,57,11,0,2002,1,Texas,Boston College,70,57
18,Alabama,86,2,Florida Atlantic,78,15,0,2002,1,Alabama,Florida Atlantic,86,78
19,Illinois,93,4,San Diego St.,64,13,0,2002,1,Illinois,San Diego St.,93,64
20,Duke,84,1,Winthrop,37,16,0,2002,1,Duke,Winthrop,84,37
21,Wyoming,73,11,Gonzaga,66,6,0,2002,1,Wyoming,Gonzaga,73,66
22,Missouri,93,12,Miami FL,80,5,0,2002,1,Missouri,Miami FL,93,80
23,Indiana,75,5,Utah,56,12,0,2002,1,Indiana,Utah,75,56
24,Creighton,83,12,Florida,82,5,0,2002,1,Creighton,Florida,83,82
25,Tulsa,71,12,Marquette,69,5,0,2002,1,Tulsa,Marquette,71,69
26,Kansas,70,1,Holy Cross,59,16,0,2002,1,Kansas,Holy Cross,70,59
27,Notre Dame,82,8,Charlotte,63,9,0,2002,1,Notre Dame,Charlotte,82,63
28,Connecticut,78,2,Hampton,67,15,0,2002,1,Connecticut,Hampton,78,67
29,Stanford,84,8,Western Kentucky,68,9,0,2002,1,Stanford,Western Kentucky,84,68
30,Cincinnati,90,1,Boston University,52,16,0,2002,1,Cincinnati,Boston University,90,52
31,Wisconsin,80,8,St. John's,70,9,0,2002,1,Wisconsin,St. John's,80,70
32,Pittsburgh,71,3,Central Connecticut,54,14,0,2002,1,Pittsburgh,Central Connecticut St.,71,54
33,Arizona,68,3,Wyoming,60,11,0,2002,2,Arizona,Wyoming,68,60
34,Kentucky,87,4,Tulsa,82,12,0,2002,2,Kentucky,Tulsa,87,82
35,Missouri,83,12,Ohio St.,67,4,0,2002,2,Missouri,Ohio St.,83,67
36,Connecticut,77,2,N.C. State,74,7,0,2002,2,Connecticut,North Carolina St.,77,74
