YEAR,ROUND,WSEED,WTEAM,WSCORE,LSEED,LTEAM,LSCORE
2022,6,1,Kansas,72,8,North Carolina,69
2022,5,8,North Carolina,81,2,Duke,77
2022,5,1,Kansas,81,2,Villanova,65
2022,4,2,Duke,78,4,Arkansas,69
2022,4,8,North Carolina,69,15,Saint Peter's,49
2022,4,2,Villanova,50,5,Houston,44
2022,4,1,Kansas,76,10,Miami Fl.,50
2022,3,4,Arkansas,74,1,Gonzaga,68
2022,3,2,Duke,78,3,Texas Tech,73
2022,3,8,North Carolina,73,4,UCLA,66
2022,3,15,Saint Peter's,67,3,Purdue,64
2022,3,5,Houston,72,1,Arizona,60
2022,3,2,Villanova,63,11,Michigan,55
2022,3,1,Kansas,66,4,Providence,61
2022,3,10,Miami Fl.,70,11,Iowa St.,56
2022,2,1,Gonzaga,82,9,Memphis,78
2022,2,4,Arkansas,53,12,New Mexico St.,48
2022,2,3,Texas Tech,59,11,Notre Dame,53
2022,2,2,Duke,85,7,Michigan St.,76
2022,2,8,North Carolina,93,1,Baylor,93
2022,2,4,UCLA,72,5,Saint Mary's Ca.,56
2022,2,3,Purdue,81,6,Texas,71
2022,2,15,Saint Peter's,70,7,Murray St.,60
2022,2,1,Arizona,85,9,TCU,80
2022,2,5,Houston,68,4,Illinois,53
2022,2,11,Michigan,76,3,Tennessee,68
2022,2,2,Villanova,71,7,Ohio St.,61
2022,2,1,Kansas,79,9,Creighton,72
2022,2,4,Providence,79,12,Richmond,51
2022,2,11,Iowa St.,54,3,Wisconsin,49
2022,2,10,Miami Fl.,79,2,Auburn,61
2022,1,1,Gonzaga,93,16,Georgia St.,72
2022,1,9,Memphis,64,8,Boise St.,53
2022,1,12,New Mexico St.,70,5,UConn,63
2022,1,4,Arkansas,75,13,Vermont,71
2022,1,11,Notre Dame,78,6,Alabama,64
2022,1,3,Texas Tech,97,14,Montana St.,62
2022,1,7,Michigan St.,74,10,Davidson,73
2022,1,2,Duke,78,15,Cal State Fullerton,61
2022,1,1,Baylor,85,16,Norfolk St.,49
2022,1,8,North Carolina,95,9,Marquette,63
2022,1,5,Saint Mary's Ca.,82,12,Indiana,53
2022,1,4,UCLA,57,13,Akron,53
2022,1,6,Texas,81,11,Virginia Tech,73
2022,1,3,Purdue,78,14,Yale,56
2022,1,7,Murray St.,92,10,San Francisco,87
2022,1,15,Saint Peter's,85,2,Kentucky,79
2022,1,1,Arizona,87,16,Wright St.,70
2022,1,9,TCU,69,8,Seton Hall,42
2022,1,5,Houston,82,12,UAB,68
2022,1,4,Illinois,54,13,Chattanooga,53
2022,1,11,Michigan,75,6,Colorado St.,63
2022,1,3,Tennessee,88,14,Longwood,56
2022,1,7,Ohio St.,54,10,Loyola Chicago,41
2022,1,2,Villanova,80,15,Delaware,60
2022,1,1,Kansas,83,16,Texas Southern,56
2022,1,9,Creighton,72,8,San Diego St.,69
2022,1,12,Richmond,67,5,Iowa,63
2022,1,4,Providence,66,13,South Dakota St.,57
2022,1,11,Iowa St.,59,6,LSU,54
2022,1,3,Wisconsin,67,14,Colgate,60
2022,1,10,Miami Fl.,68,7,Southern California,66
2022,1,2,Auburn,80,15,Jacksonville St.,61
