team1,team1score,team1seed,team2,team2score,team2seed,result,year,round
Kansas,105,1,Austin Peay,79,16,1,2016,1
Colorado,67,8,UConn,74,9,1,2016,1
Maryland,79,5,South Dakota St.,74,12,0,2016,1
California,66,4,Hawaii,77,13,1,2016,1
Arizona,55,6,Wichita St.,65,11,1,2016,1
Miami (FL),79,3,Buffalo,72,14,0,2016,1
Iowa,72,7,Temple,70,10,0,2016,1
Villanova,86,2,UNC Asheville,56,15,0,2016,1
Kansas,73,1,UConn,61,9,0,2016,2
Maryland,73,5,Hawaii,60,13,0,2016,2
Wichita St.,57,11,Miami (FL),65,3,1,2016,2
Iowa,68,7,Villanova,87,2,1,2016,2
Kansas,79,1,Maryland,63,5,0,2016,3
Miami (FL),69,3,Villanova,92,2,1,2016,3
Kansas,59,1,Villanova,64,2,1,2016,4
North Carolina,83,1,FGCU,67,16,0,2016,1
Southern California,69,8,Providence,70,9,1,2016,1
Indiana,99,5,Chattanooga,74,12,0,2016,1
Kentucky,85,4,Stony Brook,57,13,0,2016,1
Notre Dame,70,6,Michigan,63,11,0,2016,1
West Virginia,56,3,SFA,70,14,1,2016,1
Wisconsin,47,7,Pittsburgh,43,10,0,2016,1
Xavier,71,2,Weber St.,53,15,0,2016,1
North Carolina,85,1,Providence,66,9,0,2016,2
Indiana,73,5,Kentucky,67,4,0,2016,2
Notre Dame,76,6,SFA,75,14,0,2016,2
Wisconsin,66,7,Xavier,63,2,0,2016,2
North Carolina,101,1,Indiana,86,5,1,2016,3
Notre Dame,61,6,Wisconsin,56,7,0,2016,3
North Carolina,88,1,Notre Dame,74,6,0,2016,4
Villanova,95,2,Oklahoma,51,2,0,2016,5
Villanova,77,2,North Carolina,74,1,0,2016,6
North Carolina,83,1,Syracuse,66,10,0,2016,5
Oregon,91,1,Holy Cross,52,16,0,2016,1
Saint Joseph's,78,8,Cincinnati,76,9,0,2016,1
Baylor,75,5,Yale,79,12,1,2016,1
Duke,93,4,UNCW,85,13,0,2016,1
Texas,72,6,UNI,75,11,1,2016,1
Texas A&amp;M,92,3,Green Bay,65,14,0,2016,1
Oregon St.,67,7,VCU,75,10,1,2016,1
Oklahoma,82,2,CSU Bakersfield,68,15,0,2016,1
Oregon,69,1,Saint Joseph's,64,8,0,2016,2
Yale,64,12,Duke,71,4,1,2016,2
UNI,88,11,Texas A&amp;M,92,3,1,2016,2
VCU,81,10,Oklahoma,85,2,1,2016,2
Oregon,82,1,Duke,68,4,0,2016,3
Texas A&amp;M,63,3,Oklahoma,77,2,1,2016,3
Oregon,68,1,Oklahoma,80,2,1,2016,4
Virginia,81,1,Hampton,45,16,0,2016,1
Texas Tech,61,8,Butler,71,9,1,2016,1
Purdue,83,5,Little Rock,85,12,1,2016,1
Iowa St.,94,4,Iona,81,13,0,2016,1
Seton Hall,52,6,Gonzaga,68,11,1,2016,1
Utah,80,3,Fresno St.,69,14,0,2016,1
Dayton,51,7,Syracuse,70,10,1,2016,1
Michigan St.,81,2,Middle Tenn.,90,15,1,2016,1
Virginia,77,1,Butler,69,9,0,2016,2
Little Rock,61,12,Iowa St.,78,4,1,2016,2
Gonzaga,82,11,Utah,59,3,0,2016,2
Syracuse,75,10,Middle Tenn.,50,15,0,2016,2
Virginia,84,1,Iowa St.,71,4,0,2016,3
Gonzaga,60,11,Syracuse,63,10,1,2016,3
Virginia,62,1,Syracuse,68,10,1,2016,4
Vanderbilt,50,11,Wichita St.,70,11,1,2016,0
FGCU,96,16,FDU,65,16,0,2016,0
Michigan,67,11,Tulsa,62,11,0,2016,0
Holy Cross,59,16,Southern U.,55,16,0,2016,0
Villanova,76,1,Mount St. Mary's,56,16,0,2017,1
Wisconsin,84,8,Virginia Tech,74,9,0,2017,1
Virginia,76,5,UNCW,71,12,0,2017,1
Florida,80,4,ETSU,65,13,0,2017,1
SMU,65,6,Southern California,66,11,1,2017,1
Baylor,91,3,New Mexico St.,73,14,0,2017,1
South Carolina,93,7,Marquette,73,10,0,2017,1
Duke,87,2,Troy,65,15,0,2017,1
Villanova,62,1,Wisconsin,65,8,1,2017,2
Virginia,39,5,Florida,65,4,1,2017,2
Southern California,78,11,Baylor,82,3,1,2017,2
South Carolina,88,7,Duke,81,2,0,2017,2
Wisconsin,83,8,Florida,84,4,1,2017,3
Baylor,50,3,South Carolina,70,7,1,2017,3
Florida,70,4,South Carolina,77,7,1,2017,4
Kansas,100,1,UC Davis,62,16,1,2017,1
Miami (FL),58,8,Michigan St.,78,9,1,2017,1
Iowa St.,84,5,Nevada,73,12,0,2017,1
Purdue,80,4,Vermont,70,13,0,2017,1
Creighton,72,6,Rhode Island,84,11,1,2017,1
Oregon,93,3,Iona,77,14,0,2017,1
Michigan,92,7,Oklahoma St.,91,10,0,2017,1
Louisville,78,2,Jacksonville St.,63,15,0,2017,1
Kansas,90,1,Michigan St.,70,9,0,2017,2
Iowa St.,76,5,Purdue,80,4,1,2017,2
Rhode Island,72,11,Oregon,75,3,1,2017,2
Michigan,73,7,Louisville,69,2,0,2017,2
Kansas,98,1,Purdue,66,4,0,2017,3
Oregon,69,3,Michigan,68,7,0,2017,3
Kansas,60,1,Oregon,74,3,1,2017,4
South Carolina,73,7,Gonzaga,77,1,1,2017,5
Gonzaga,65,1,North Carolina,71,1,1,2017,6
Oregon,76,3,North Carolina,77,1,1,2017,5
Gonzaga,66,1,South Dakota St.,46,16,0,2017,1
Northwestern,68,8,Vanderbilt,66,9,0,2017,1
Notre Dame,60,5,Princeton,58,12,0,2017,1
West Virginia,86,4,Bucknell,80,13,0,2017,1
Maryland,65,6,Xavier,76,11,1,2017,1
Florida St.,86,3,FGCU,80,14,0,2017,1
Saint Mary's (CA),85,7,VCU,77,10,0,2017,1
Arizona,100,2,North Dakota,82,15,1,2017,1
Gonzaga,79,1,Northwestern,73,8,0,2017,2
Notre Dame,71,5,West Virginia,83,4,1,2017,2
Xavier,91,11,Florida St.,66,3,0,2017,2
Saint Mary's (CA),60,7,Arizona,69,2,1,2017,2
Gonzaga,61,1,West Virginia,58,4,0,2017,3
Xavier,73,11,Arizona,71,2,0,2017,3
Gonzaga,83,1,Xavier,59,11,0,2017,4
North Carolina,103,1,Texas Southern,64,16,1,2017,1
Arkansas,77,8,Seton Hall,71,9,0,2017,1
Minnesota,72,5,Middle Tenn.,81,12,1,2017,1
Butler,76,4,Winthrop,64,13,0,2017,1
Cincinnati,75,6,Kansas St.,61,11,0,2017,1
UCLA,97,3,Kent St.,80,14,0,2017,1
Dayton,58,7,Wichita St.,64,10,1,2017,1
Kentucky,79,2,Northern Ky.,70,15,0,2017,1
North Carolina,72,1,Arkansas,65,8,0,2017,2
Middle Tenn.,65,12,Butler,74,4,1,2017,2
Cincinnati,67,6,UCLA,79,3,1,2017,2
Wichita St.,62,10,Kentucky,65,2,1,2017,2
North Carolina,92,1,Butler,80,4,0,2017,3
UCLA,75,3,Kentucky,86,2,1,2017,3
North Carolina,75,1,Kentucky,73,2,0,2017,4
Kansas St.,95,11,Wake Forest,88,11,0,2017,0
Mount St. Mary's,67,16,New Orleans,66,16,0,2017,0
N.C. Central,63,16,UC Davis,67,16,1,2017,0
Providence,71,11,Southern California,75,11,1,2017,0
Virginia,54,1,UMBC,74,16,1,2018,1
Creighton,59,8,Kansas St.,69,9,1,2018,1
Kentucky,78,5,Davidson,73,12,0,2018,1
Arizona,68,4,Buffalo,89,13,1,2018,1
Miami (FL),62,6,Loyola Chicago,64,11,1,2018,1
Tennessee,73,3,Wright St.,47,14,0,2018,1
Nevada,87,7,Texas,83,10,0,2018,1
Cincinnati,68,2,Georgia St.,53,15,0,2018,1
UMBC,43,16,Kansas St.,50,9,1,2018,2
Kentucky,95,5,Buffalo,75,13,0,2018,2
Loyola Chicago,63,11,Tennessee,62,3,0,2018,2
Nevada,75,7,Cincinnati,73,2,0,2018,2
Kansas St.,61,9,Kentucky,58,5,0,2018,3
Loyola Chicago,69,11,Nevada,68,7,0,2018,3
Kansas St.,62,9,Loyola Chicago,78,11,1,2018,4
Villanova,87,1,Radford,61,16,0,2018,1
Virginia Tech,83,8,Alabama,86,9,1,2018,1
West Virginia,85,5,Murray St.,68,12,0,2018,1
Wichita St.,75,4,Marshall,81,13,1,2018,1
Florida,77,6,St. Bonaventure,62,11,0,2018,1
Texas Tech,70,3,SFA,60,14,0,2018,1
Arkansas,62,7,Butler,79,10,1,2018,1
Purdue,74,2,Cal St. Fullerton,48,15,0,2018,1
Villanova,81,1,Alabama,58,9,0,2018,2
West Virginia,94,5,Marshall,71,13,0,2018,2
Florida,66,6,Texas Tech,69,3,1,2018,2
Butler,73,10,Purdue,76,2,1,2018,2
Villanova,90,1,West Virginia,78,5,0,2018,3
Texas Tech,78,3,Purdue,65,2,0,2018,3
Villanova,71,1,Texas Tech,59,3,0,2018,4
Loyola Chicago,57,11,Michigan,69,3,1,2018,5
Michigan,62,3,Villanova,79,1,1,2018,6
Villanova,95,1,Kansas,79,1,0,2018,5
Xavier,102,1,Texas Southern,83,16,1,2018,1
Missouri,54,8,Florida St.,67,9,1,2018,1
Ohio St.,81,5,South Dakota St.,73,12,0,2018,1
Gonzaga,68,4,UNC Greensboro,64,13,0,2018,1
Houston,67,6,San Diego St.,65,11,0,2018,1
Michigan,61,3,Montana,47,14,0,2018,1
Texas A&amp;M,73,7,Providence,69,10,0,2018,1
North Carolina,84,2,Lipscomb,66,15,0,2018,1
Xavier,70,1,Florida St.,75,9,1,2018,2
Ohio St.,84,5,Gonzaga,90,4,1,2018,2
Houston,63,6,Michigan,64,3,1,2018,2
Texas A&amp;M,86,7,North Carolina,65,2,0,2018,2
Florida St.,75,9,Gonzaga,60,4,0,2018,3
Michigan,99,3,Texas A&amp;M,72,7,0,2018,3
Florida St.,54,9,Michigan,58,3,1,2018,4
Kansas,76,1,Penn,60,16,0,2018,1
Seton Hall,94,8,NC State,83,9,0,2018,1
Clemson,79,5,New Mexico St.,68,12,0,2018,1
Auburn,62,4,Col. of Charleston,58,13,0,2018,1
TCU,52,6,Syracuse,57,11,1,2018,1
Michigan St.,82,3,Bucknell,78,14,0,2018,1
Rhode Island,83,7,Oklahoma,78,10,0,2018,1
Duke,89,2,Iona,67,15,0,2018,1
Kansas,83,1,Seton Hall,79,8,0,2018,2
Clemson,84,5,Auburn,53,4,0,2018,2
Syracuse,55,11,Michigan St.,53,3,0,2018,2
Rhode Island,62,7,Duke,87,2,1,2018,2
Kansas,80,1,Clemson,76,5,0,2018,3
Syracuse,65,11,Duke,69,2,1,2018,3
Kansas,85,1,Duke,81,2,0,2018,4
LIU,61,16,Radford,71,16,1,2018,0
St. Bonaventure,65,11,UCLA,58,11,0,2018,0
N.C. Central,46,16,Texas Southern,64,16,1,2018,0
Arizona St.,56,11,Syracuse,60,11,1,2018,0
Duke,85,1,North Dakota St.,62,16,0,2019,1
VCU,58,8,UCF,73,9,1,2019,1
Mississippi St.,76,5,Liberty,80,12,1,2019,1
Virginia Tech,66,4,Saint Louis,52,13,0,2019,1
Maryland,79,6,Belmont,77,11,0,2019,1
LSU,79,3,Yale,74,14,0,2019,1
Louisville,76,7,Minnesota,86,10,1,2019,1
Michigan St.,76,2,Bradley,65,15,0,2019,1
Duke,77,1,UCF,76,9,0,2019,2
Liberty,58,12,Virginia Tech,67,4,1,2019,2
Maryland,67,6,LSU,69,3,1,2019,2
Minnesota,50,10,Michigan St.,70,2,1,2019,2
Duke,75,1,Virginia Tech,73,4,0,2019,3
LSU,63,3,Michigan St.,80,2,1,2019,3
Duke,67,1,Michigan St.,68,2,1,2019,4
Virginia,71,1,Gardner-Webb,56,16,0,2019,1
Ole Miss,72,8,Oklahoma,95,9,1,2019,1
Wisconsin,54,5,Oregon,72,12,1,2019,1
Kansas St.,64,4,UC Irvine,70,13,1,2019,1
Villanova,61,6,Saint Mary's (CA),57,11,0,2019,1
Purdue,61,3,Old Dominion,48,14,0,2019,1
Cincinnati,72,7,Iowa,79,10,1,2019,1
Tennessee,77,2,Colgate,70,15,0,2019,1
Virginia,63,1,Oklahoma,51,9,0,2019,2
Oregon,73,12,UC Irvine,54,13,0,2019,2
Villanova,61,6,Purdue,87,3,1,2019,2
Iowa,77,10,Tennessee,83,2,1,2019,2
Virginia,53,1,Oregon,49,12,0,2019,3
Purdue,99,3,Tennessee,94,2,0,2019,3
Virginia,80,1,Purdue,75,3,0,2019,4
Michigan St.,51,2,Texas Tech,61,3,1,2019,5
Texas Tech,77,3,Virginia,85,1,1,2019,6
Virginia,63,1,Auburn,62,5,0,2019,5
Gonzaga,87,1,FDU,49,16,0,2019,1
Syracuse,69,8,Baylor,78,9,1,2019,1
Marquette,64,5,Murray St.,83,12,1,2019,1
Florida St.,76,4,Vermont,69,13,0,2019,1
Buffalo,91,6,Arizona St.,74,11,0,2019,1
Texas Tech,72,3,Northern Ky.,57,14,0,2019,1
Nevada,61,7,Florida,70,10,1,2019,1
Michigan,74,2,Montana,55,15,0,2019,1
