,A_W,A_L,A_G,A_SEED,A_RK,A_ADJEM,A_ADJOE,A_ADJOE_R,A_ADJDE,A_ADJDE_R,A_ADJ_T,A_ADJ_T_R,A_Luck,A_Luck_R,A_SOS,A_SOS_R,A_OppO,A_OppO_R,A_OppD,A_OppD_R,A_NCSOS,A_NCSOS_R,B_W,B_L,B_G,B_SEED,B_RK,B_ADJEM,B_ADJOE,B_ADJOE_R,B_ADJDE,B_ADJDE_R,B_ADJ_T,B_ADJ_T_R,B_Luck,B_Luck_R,B_SOS,B_SOS_R,B_OppO,B_OppO_R,B_OppD,B_OppD_R,B_NCSOS,B_NCSOS_R,result,year
0,17,19,36,16,174,-1.21,100.8,201,102.0,141,66.5,223,-0.07,296,-4.14,237,100.1,246,104.2,199,-0.42,167,20,10,30,16,252,-8.71,100.1,213,108.8,268,73.0,23,0.097,8,-14.53,325,95.0,325,109.6,325,2.59,101,0,2002
1,27,8,35,3,26,18.25,111.4,43,93.1,20,67.9,174,0.107,6,8.93,25,106.7,56,97.7,6,-0.96,187,20,9,29,14,100,5.39,103.2,157,97.8,66,66.2,235,0.023,108,-4.6,244,99.6,258,104.2,197,12.81,5,0,2002
2,26,6,32,7,23,18.6,111.2,48,92.6,17,67.0,206,0.051,54,5.09,76,106.7,55,101.6,95,5.37,47,26,6,32,10,51,13.15,110.3,58,97.2,55,65.6,253,0.007,154,-0.72,178,102.8,188,103.5,173,-9.7,319,0,2002
3,21,12,33,8,35,16.34,113.7,27,97.3,58,68.1,167,0.048,62,12.0,6,110.1,7,98.1,10,8.58,20,19,11,30,9,34,16.68,113.3,31,96.7,48,64.7,279,-0.04,253,7.32,48,105.9,80,98.6,16,-6.23,292,0,2002
4,26,9,35,2,9,22.97,119.2,3,96.3,40,71.1,61,-0.041,255,8.15,36,108.1,31,99.9,50,-3.3,245,14,15,29,15,210,-4.51,102.4,176,106.9,239,68.5,156,0.053,51,-1.95,199,103.2,168,105.2,236,0.44,150,0,2002
5,23,10,33,13,65,11.32,107.4,98,96.1,37,63.9,292,-0.003,173,0.83,141,103.2,169,102.4,119,4.56,65,22,10,32,4,12,20.67,112.8,36,92.1,14,70.1,88,-0.051,275,9.3,21,109.2,10,99.9,51,1.89,113,0,2002
6,23,11,34,7,21,19.15,113.2,33,94.0,26,67.5,193,0.012,136,8.27,31,108.6,20,100.4,65,-5.56,283,19,12,31,10,32,16.86,113.0,34,96.2,38,63.3,297,-0.026,219,9.76,19,108.5,21,98.7,19,1.51,126,0,2002
7,21,13,34,7,30,17.35,118.6,6,101.3,126,69.5,108,0.006,156,11.24,9,109.1,12,97.9,7,5.85,44,21,9,30,10,62,11.72,111.1,49,99.3,89,72.4,33,0.061,35,3.96,95,105.7,87,101.7,102,11.94,8,0,2002
8,31,5,36,2,5,26.04,114.9,20,88.9,4,66.5,228,0.043,69,8.77,26,109.0,15,100.2,62,-0.45,169,18,14,32,15,118,3.85,108.9,74,105.0,208,67.5,191,0.04,74,1.84,124,104.1,136,102.2,118,0.66,145,0,2002
9,24,8,32,4,17,19.76,116.4,11,96.6,47,66.8,215,0.005,159,7.51,46,106.6,58,99.1,27,-1.26,196,18,10,28,13,119,3.7,101.5,187,97.8,64,65.1,271,0.142,1,1.8,125,104.2,131,102.4,124,9.42,13,0,2002
